('Bad return', ('profile', 0, 'parsing(sys.argv[1], sys.argv[2])'))
         315763 function calls (300228 primitive calls) in 0.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.069    0.001    0.069    0.001 {method 'read' of '_io.BufferedReader' objects}
 2996/217    0.050    0.000    0.126    0.001 sre_parse.py:494(_parse)
      110    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
      588    0.040    0.000    0.040    0.000 {built-in method posix.stat}
      8/6    0.026    0.003    0.028    0.005 {built-in method _imp.create_dynamic}
 3494/178    0.024    0.000    0.059    0.000 sre_compile.py:87(_compile)
  411/409    0.018    0.000    0.207    0.001 {built-in method builtins.__build_class__}
      110    0.017    0.000    0.017    0.000 {built-in method io.open_code}
      656    0.014    0.000    0.020    0.000 sre_compile.py:292(_optimize_charset)
        1    0.014    0.014    0.097    0.097 dammit.py:70(_populate_class_variables)
    16620    0.013    0.000    0.013    0.000 sre_parse.py:234(__next)
    19464    0.011    0.000    0.015    0.000 sre_parse.py:165(__getitem__)
43233/39056    0.010    0.000    0.011    0.000 {built-in method builtins.len}
 3491/348    0.009    0.000    0.014    0.000 sre_parse.py:175(getwidth)
 1036/179    0.009    0.000    0.128    0.001 sre_parse.py:436(_parse_sub)
        8    0.008    0.001    0.008    0.001 {built-in method _imp.exec_dynamic}
    47217    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
       20    0.007    0.000    0.008    0.000 typing.py:267(_remove_dups_flatten)
     1576    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    10735    0.007    0.000    0.015    0.000 sre_parse.py:255(get)
      297    0.007    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       18    0.007    0.000    0.014    0.001 enum.py:180(__new__)
    27002    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
      244    0.006    0.000    0.228    0.001 re.py:288(_compile)
      991    0.005    0.000    0.006    0.000 sre_parse.py:296(_class_escape)
      110    0.005    0.000    0.151    0.001 <frozen importlib._bootstrap_external>:950(get_code)
     9117    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      178    0.004    0.000    0.004    0.000 {built-in method _sre.compile}
       12    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     7876    0.004    0.000    0.008    0.000 sre_parse.py:250(match)
      148    0.004    0.000    0.082    0.001 <frozen importlib._bootstrap>:921(_find_spec)
      111    0.004    0.000    0.006    0.000 sre_compile.py:516(_get_charset_prefix)
     8127    0.004    0.000    0.005    0.000 sre_parse.py:161(__len__)
    150/2    0.003    0.000    0.675    0.337 <frozen importlib._bootstrap>:1022(_find_and_load)
       10    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
    111/1    0.003    0.000    0.676    0.676 {built-in method builtins.exec}
     1374    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      220    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     4051    0.003    0.000    0.003    0.000 sre_parse.py:112(__init__)
     5112    0.003    0.000    0.004    0.000 sre_parse.py:173(append)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
      178    0.003    0.000    0.216    0.001 sre_compile.py:783(compile)
      548    0.003    0.000    0.013    0.000 enum.py:359(__call__)
    133/2    0.003    0.000    0.661    0.330 <frozen importlib._bootstrap>:664(_load_unlocked)
      177    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
      177    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      133    0.002    0.000    0.075    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
      110    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      110    0.002    0.000    0.091    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
     1576    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      505    0.002    0.000    0.002    0.000 enum.py:470(__setattr__)
      656    0.002    0.000    0.003    0.000 sre_compile.py:265(_compile_charset)
     3767    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
     2702    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
     2755    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      398    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x56004ed3e9a0}
    150/2    0.002    0.000    0.674    0.337 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      118    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      133    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      110    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      388    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
      356    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      110    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      178    0.002    0.000    0.132    0.001 sre_parse.py:944(parse)
      178    0.002    0.000    0.017    0.000 sre_compile.py:560(_compile_info)
     2760    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1657    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
    110/2    0.002    0.000    0.661    0.330 <frozen importlib._bootstrap_external>:877(exec_module)
     1908    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     5871    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     3236    0.002    0.000    0.002    0.000 sre_parse.py:287(tell)
      178    0.002    0.000    0.005    0.000 enum.py:986(__and__)
      588    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      220    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3623    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      133    0.002    0.000    0.076    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
       15    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
       10    0.001    0.000    0.005    0.001 __init__.py:328(namedtuple)
      177    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      325    0.001    0.000    0.006    0.000 css_parser.py:1094(selector_iter)
      663    0.001    0.000    0.002    0.000 sre_parse.py:433(_uniq)
        1    0.001    0.001    0.002    0.002 quoprimime.py:1(<module>)
        2    0.001    0.001    0.001    0.001 {built-in method builtins.sorted}
       28    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.001    0.001    0.001    0.001 pathlib.py:540(PurePath)
     1995    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      388    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
     2528    0.001    0.000    0.002    0.000 {built-in method builtins.max}
  133/130    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      757    0.001    0.000    0.002    0.000 sre_parse.py:356(_escape)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
     5093    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      117    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
      167    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
       13    0.001    0.000    1.177    0.091 __init__.py:1(<module>)
      117    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
       59    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       69    0.001    0.000    0.004    0.000 typing.py:1016(__init__)
      663    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      993    0.001    0.000    0.002    0.000 sre_parse.py:169(__setitem__)
    52/14    0.001    0.000    0.022    0.002 css_parser.py:911(parse_selectors)
      118    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      538    0.001    0.000    0.002    0.000 enum.py:678(__new__)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      178    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
      571    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
      330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      178    0.001    0.000    0.077    0.000 sre_compile.py:622(_code)
      747    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
    172/2    0.001    0.000    0.656    0.328 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       77    0.001    0.000    0.009    0.000 css_parser.py:462(parse_attribute_selector)
       18    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      939    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
  191/159    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      118    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       10    0.001    0.000    0.003    0.000 enum.py:553(<listcomp>)
      110    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      673    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
       30    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      228    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:391(cached)
       73    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
      169    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.001    0.001    0.001    0.001 {built-in method time.process_time}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
     3372    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1630    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      150    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.001    0.001    0.055    0.055 _content.py:1(<module>)
      412    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
        1    0.001    0.001    0.001    0.001 {built-in method atexit.register}
        1    0.001    0.001    0.001    0.001 random.py:1(<module>)
        1    0.001    0.001    0.331    0.331 _client.py:1(<module>)
      253    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      299    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.001    0.001    0.105    0.105 css_parser.py:1(<module>)
      171    0.001    0.000    0.001    0.000 types.py:176(__get__)
      110    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      409    0.001    0.000    0.001    0.000 socket.py:93(<lambda>)
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.001    0.001    0.001    0.001 _compression.py:1(<module>)
      165    0.001    0.000    0.001    0.000 sre_parse.py:85(opengroup)
        1    0.000    0.000    0.029    0.029 ssl.py:1(<module>)
      157    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
  774/591    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       25    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
      388    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      571    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
       74    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.008    0.008 decoder.py:1(<module>)
       17    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.011    0.011 pathlib.py:1(<module>)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      333    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      178    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      693    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      179    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        3    0.000    0.000    0.000    0.000 element.py:27(_alias)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
  102/100    0.000    0.000    0.016    0.000 typing.py:306(inner)
       91    0.000    0.000    0.002    0.000 enum.py:980(__or__)
    42/31    0.000    0.000    0.170    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.168    0.168 request.py:1(<module>)
       46    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
       38    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.015    0.015 socket.py:1(<module>)
      356    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      414    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.002    0.002 default.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _types.py:1(<module>)
      387    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      110    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      133    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      739    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      244    0.000    0.000    0.229    0.001 re.py:249(compile)
        1    0.000    0.000    0.132    0.132 client.py:1(<module>)
        1    0.000    0.000    0.007    0.007 charset.py:1(<module>)
        1    0.000    0.000    0.098    0.098 dammit.py:67(EntitySubstitution)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1649    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      308    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
       22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       10    0.000    0.000    0.008    0.001 enum.py:483(_create_)
       10    0.000    0.000    0.012    0.001 enum.py:536(_convert_)
       18    0.000    0.000    0.002    0.000 enum.py:165(__prepare__)
      407    0.000    0.000    0.001    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
        1    0.000    0.000    0.336    0.336 _api.py:1(<module>)
       20    0.000    0.000    0.010    0.001 typing.py:483(Union)
      599    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.002    0.002 ntpath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 mimetypes.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      739    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:383(HTMLTreeBuilder)
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.169    0.169 dammit.py:1(<module>)
      339    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       76    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
        1    0.000    0.000    0.003    0.003 request.py:939(AbstractBasicAuthHandler)
        8    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       50    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
    16/12    0.000    0.000    0.196    0.016 {built-in method builtins.__import__}
      355    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      352    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.052    0.052 _multipart.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      215    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      168    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      994    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       96    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
      408    0.000    0.000    0.001    0.000 socket.py:88(<lambda>)
        7    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
        1    0.000    0.000    0.004    0.004 encoders.py:1(<module>)
      174    0.000    0.000    0.002    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.299    0.299 _auth.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2223(__init__)
       46    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
      302    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.003    0.003 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.009    0.009 message.py:1(<module>)
        1    0.000    0.000    0.012    0.012 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      222    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.039    0.039 api.py:1(<module>)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.109    0.109 _models.py:1(<module>)
        2    0.000    0.000    0.043    0.022 utils.py:1(<module>)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      221    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
       12    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 element.py:144(PageElement)
      165    0.000    0.000    0.011    0.000 sre_parse.py:97(closegroup)
       48    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
      941    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
   130/71    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      505    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      110    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
      356    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       18    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      117    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       33    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       28    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 element.py:1191(Tag)
      325    0.000    0.000    0.006    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 ssl.py:841(SSLObject)
        1    0.000    0.000    0.015    0.015 shutil.py:1(<module>)
    42/30    0.000    0.000    0.018    0.001 css_parser.py:569(parse_pseudo_class)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       69    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        4    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        7    0.000    0.000    0.001    0.000 typing.py:801(__init__)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       42    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      163    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
   160/85    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    0.017    0.017 tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       16    0.000    0.000    0.054    0.003 css_parser.py:296(__init__)
        1    0.000    0.000    0.025    0.025 header.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        2    0.000    0.000    0.102    0.051 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
      124    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
