('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         719064 function calls (700216 primitive calls) in 1.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
69870/69832    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
    66369    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
52410/47559    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    25603    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
    20458    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    19880    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
    17125    0.005    0.000    0.005    0.000 sre_parse.py:234(__next)
    15202    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    14711    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    14578    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    13920    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11029    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
    10951    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     9568    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     9280    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8283    0.001    0.000    0.002    0.000 sre_parse.py:161(__len__)
     8246    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     8135    0.006    0.000    0.006    0.000 element.py:156(setup)
     8128    0.002    0.000    0.003    0.000 sre_parse.py:250(match)
     8061    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7382    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6726    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     6571    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     6277    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6180    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     6006    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     5730    0.006    0.000    0.022    0.000 __init__.py:586(endData)
     5607    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
5433/5432    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     5211    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
     4125    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
     4113    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3795    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
 3580/381    0.004    0.000    0.006    0.000 sre_parse.py:175(getwidth)
 3565/193    0.011    0.000    0.023    0.000 sre_compile.py:87(_compile)
     3398    0.001    0.000    0.001    0.000 element.py:2062(descendants)
