('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         700029 function calls (681064 primitive calls) in 7.116 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      301    1.331    0.004    1.331    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.095    0.095    0.095    0.095 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.042    0.042    0.042    0.042 {method 'connect' of '_socket.socket' objects}
        1    0.041    0.041    0.041    0.041 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    25325    0.034    0.000    0.034    0.000 {method 'match' of 're.Pattern' objects}
        2    0.030    0.015    0.310    0.155 parser.py:133(goahead)
     2732    0.028    0.000    0.187    0.000 parser.py:300(parse_starttag)
 3215/198    0.021    0.000    0.058    0.000 sre_parse.py:494(_parse)
        1    0.019    0.019    0.019    0.019 {built-in method _socket.getaddrinfo}
     2732    0.019    0.000    0.091    0.000 __init__.py:722(handle_starttag)
     3107    0.018    0.000    0.018    0.000 {built-in method __new__ of type object at 0x56421a8479a0}
     2733    0.017    0.000    0.047    0.000 element.py:1199(__init__)
      158    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
     2614    0.015    0.000    0.024    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
 3971/189    0.013    0.000    0.029    0.000 sre_compile.py:87(_compile)
        1    0.012    0.012    0.012    0.012 models.py:909(text)
    14339    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
     5702    0.010    0.000    0.049    0.000 __init__.py:586(endData)
     8121    0.009    0.000    0.009    0.000 element.py:156(setup)
     2732    0.009    0.000    0.103    0.000 _htmlparser.py:105(handle_starttag)
       38    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2731    0.007    0.000    0.013    0.000 __init__.py:688(_popToTag)
     2585    0.007    0.000    0.060    0.000 parser.py:385(parse_endtag)
     2694    0.007    0.000    0.015    0.000 __init__.py:620(object_was_parsed)
      217    0.007    0.000    0.199    0.001 {method 'read' of '_io.BufferedReader' objects}
      897    0.007    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
    22042    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
     2733    0.006    0.000    0.007    0.000 __init__.py:572(pushTag)
        1    0.006    0.006    0.006    0.006 {method '_wrap_socket' of '_ssl._SSLContext' objects}
66235/66227    0.006    0.000    0.010    0.000 {built-in method builtins.isinstance}
    10895    0.006    0.000    0.011    0.000 _markupbase.py:44(updatepos)
      821    0.006    0.000    0.006    0.000 {built-in method posix.stat}
     8201    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    71130    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
  528/526    0.005    0.000    0.071    0.000 {built-in method builtins.__build_class__}
    23178    0.005    0.000    0.007    0.000 sre_parse.py:165(__getitem__)
     8039    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
55451/50701    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     2732    0.005    0.000    0.005    0.000 __init__.py:558(popTag)
