('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         700262 function calls (681263 primitive calls) in 1.776 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      304    1.210    0.004    1.210    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.040    0.040    0.040    0.040 {built-in method _socket.getaddrinfo}
        1    0.037    0.037    0.037    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.036    0.036    0.036    0.036 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.035    0.035    0.035    0.035 {method 'connect' of '_socket.socket' objects}
 3215/198    0.022    0.000    0.066    0.000 sre_parse.py:494(_parse)
     2732    0.022    0.000    0.107    0.000 parser.py:300(parse_starttag)
    25325    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
        2    0.015    0.007    0.174    0.087 parser.py:133(goahead)
       38    0.014    0.000    0.014    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 3971/189    0.012    0.000    0.028    0.000 sre_compile.py:87(_compile)
      158    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
     2733    0.008    0.000    0.023    0.000 element.py:1199(__init__)
     2614    0.008    0.000    0.011    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     8121    0.007    0.000    0.007    0.000 element.py:156(setup)
    22042    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
      897    0.006    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
     5702    0.006    0.000    0.025    0.000 __init__.py:586(endData)
     2732    0.006    0.000    0.056    0.000 _htmlparser.py:105(handle_starttag)
     2732    0.006    0.000    0.047    0.000 __init__.py:722(handle_starttag)
66269/66261    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     2585    0.006    0.000    0.034    0.000 parser.py:385(parse_endtag)
    23212    0.006    0.000    0.008    0.000 sre_parse.py:165(__getitem__)
    71164    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
  528/526    0.005    0.000    0.075    0.000 {built-in method builtins.__build_class__}
55522/50738    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 3977/368    0.005    0.000    0.009    0.000 sre_parse.py:175(getwidth)
     2733    0.005    0.000    0.005    0.000 __init__.py:572(pushTag)
    10895    0.005    0.000    0.007    0.000 _markupbase.py:44(updatepos)
     2731    0.005    0.000    0.009    0.000 __init__.py:688(_popToTag)
 1207/190    0.005    0.000    0.067    0.000 sre_parse.py:436(_parse_sub)
     2694    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
     1058    0.004    0.000    0.005    0.000 sre_parse.py:296(_class_escape)
    10219    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     2732    0.004    0.000    0.004    0.000 __init__.py:558(popTag)
        1    0.004    0.004    0.004    0.004 models.py:909(text)
     8201    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    14339    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     3107    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x561c176ed9a0}
    14831    0.003    0.000    0.008    0.000 sre_parse.py:255(get)
     1428    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
     2733    0.003    0.000    0.026    0.000 _htmlparser.py:160(handle_endtag)
      217    0.003    0.000    0.198    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.003    0.003    0.026    0.026 dammit.py:70(_populate_class_variables)
 2169/858    0.003    0.000    0.005    0.000 element.py:2336(_matches)
     2732    0.003    0.000    0.008    0.000 parser.py:351(check_for_whole_start_tag)
    19438    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     8039    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     1945    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2694    0.002    0.000    0.006    0.000 element.py:943(__new__)
    10449    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
      403    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    12798    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     9535    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      821    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     3361    0.002    0.000    0.011    0.000 element.py:2303(search)
     2731    0.002    0.000    0.023    0.000 __init__.py:763(handle_endtag)
    15042    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1717    0.002    0.000    0.008    0.000 element.py:2240(search_tag)
      303    0.002    0.000    0.107    0.000 re.py:288(_compile)
    15090    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      9/7    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
     6110    0.002    0.000    0.006    0.000 __init__.py:122(unescape)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
     2176    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       19    0.002    0.000    0.215    0.011 {method 'join' of 'bytes' objects}
      724    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     2732    0.002    0.000    0.002    0.000 element.py:1371(is_empty_element)
     2694    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     5788    0.001    0.000    0.002    0.000 sre_parse.py:173(append)
      158    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     4646    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        3    0.001    0.000    0.013    0.004 element.py:792(_find_all)
       39    0.001    0.000    0.015    0.000 response.py:122(decompress)
     8844    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       19    0.001    0.000    0.003    0.000 enum.py:180(__new__)
      304    0.001    0.000    1.214    0.004 socket.py:691(readinto)
     2595    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
      897    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     4116    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     2155    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      304    0.001    0.000    1.212    0.004 ssl.py:1292(recv_into)
        3    0.001    0.000    0.001    0.000 socket.py:220(__init__)
      205    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2714    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      189    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      158    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     2733    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
5842/5774    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      189    0.001    0.000    0.104    0.001 sre_compile.py:783(compile)
     1846    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5473    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      122    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      304    0.001    0.000    1.211    0.004 ssl.py:1150(read)
    209/4    0.001    0.000    0.228    0.057 <frozen importlib._bootstrap>:1022(_find_and_load)
      802    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      269    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
    184/4    0.001    0.000    0.228    0.057 <frozen importlib._bootstrap>:664(_load_unlocked)
     5579    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
      188    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      189    0.001    0.000    0.068    0.000 sre_parse.py:944(parse)
     6499    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     3702    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     2733    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2585    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     6712    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     7617    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     3693    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2732    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     1360    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
    158/4    0.001    0.000    0.228    0.057 <frozen importlib._bootstrap_external>:877(exec_module)
       17    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      184    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      881    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     1002    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
    207/4    0.001    0.000    0.228    0.057 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3398    0.000    0.000    0.001    0.000 element.py:2062(descendants)
       66    0.000    0.000    1.019    0.015 {method 'readline' of '_io.BufferedReader' objects}
     2629    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2752    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     2264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      269    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       18    0.000    0.000    0.516    0.029 __init__.py:1(<module>)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       39    0.000    0.000    0.213    0.005 response.py:1173(read_chunked)
      189    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     2216    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     1755    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      147    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      599    0.000    0.000    0.003    0.000 enum.py:359(__call__)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      189    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2216    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3812    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      158    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
  209/175    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      158    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      189    0.000    0.000    0.034    0.000 sre_compile.py:622(_code)
      316    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    1.776    1.776 financial.py:1(<module>)
     2873    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      158    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      926    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      304    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.963    0.482 client.py:278(_read_status)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    159/1    0.000    0.000    1.776    1.776 {built-in method builtins.exec}
     2799    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      479    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      416    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      589    0.000    0.000    0.001    0.000 enum.py:678(__new__)
       58    0.000    0.000    0.196    0.003 client.py:624(_safe_read)
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       38    0.000    0.000    0.196    0.005 response.py:1151(_handle_chunk)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      816    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  184/181    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
     1392    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      118    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      189    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        2    0.000    0.000    1.021    0.511 client.py:311(begin)
      304    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
     2523    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      306    0.000    0.000    0.000    0.000 socket.py:730(readable)
      174    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       27    0.000    0.000    0.000    0.000 parse.py:456(urlsplit)
       40    0.000    0.000    0.015    0.000 response.py:469(_decode)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
  551/533    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      733    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      291    0.000    0.000    0.000    0.000 types.py:176(__get__)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      406    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       49    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      189    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      325    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      227    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.060    0.060 css_parser.py:1(<module>)
      416    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
    237/4    0.000    0.000    0.227    0.057 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      735    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
       99    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      516    0.000    0.000    0.000    0.000 element.py:1543(get)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      188    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.038    0.038 ssl.py:1014(_create)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      612    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        5    0.000    0.000    0.001    0.000 request.py:2487(getproxies_environment)
        2    0.000    0.000    0.056    0.028 client.py:206(_read_headers)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      378    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  159/158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1404    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       41    0.000    0.000    0.213    0.005 models.py:816(generate)
      301    0.000    0.000    0.107    0.000 re.py:249(compile)
       25    0.000    0.000    0.001    0.000 parse.py:380(urlparse)
       51    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    1.548    1.548 financial.py:6(parsing)
      190    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    69/66    0.000    0.000    0.002    0.000 typing.py:306(inner)
        1    0.000    0.000    0.026    0.026 dammit.py:67(EntitySubstitution)
      331    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.000    0.000 response.py:864(_raw_read)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1040    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
     1040    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       52    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        3    0.000    0.000    0.007    0.002 utils.py:1(<module>)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      193    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
    71/37    0.000    0.000    0.139    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
      200    0.000    0.000    0.000    0.000 os.py:698(__iter__)
      423    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       16    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       24    0.000    0.000    0.001    0.000 typing.py:483(Union)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f2195897880}
      354    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       50    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      174    0.000    0.000    0.007    0.000 sre_parse.py:97(closegroup)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       13    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       41    0.000    0.000    0.213    0.005 response.py:1044(stream)
        2    0.000    0.000    1.022    0.511 connection.py:485(getresponse)
        1    0.000    0.000    0.000    0.000 response.py:544(HTTPResponse)
      496    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       17    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
    31/17    0.000    0.000    0.160    0.009 {built-in method builtins.__import__}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      203    0.000    0.000    0.000    0.000 os.py:759(decode)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       12    0.000    0.000    0.000    0.000 message.py:497(get_all)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      527    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      2/1    0.000    0.000    1.355    1.355 sessions.py:673(send)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       56    0.000    0.000    0.000    0.000 parse.py:123(_coerce_args)
      3/2    0.000    0.000    1.143    0.572 sessions.py:159(resolve_redirects)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      269    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      150    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
       53    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      200    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
       19    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
      501    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       24    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
        2    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
       44    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       16    0.000    0.000    0.032    0.002 css_parser.py:296(__init__)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
        2    0.000    0.000    0.058    0.029 client.py:224(parse_headers)
        1    0.000    0.000    0.174    0.174 __init__.py:122(__init__)
  139/137    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      246    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      492    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      188    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        2    0.000    0.000    1.137    0.569 connectionpool.py:592(urlopen)
        1    0.000    0.000    0.000    0.000 socket.py:520(type)
       55    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
      313    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        2    0.000    0.000    0.010    0.005 connection.py:1(<module>)
        2    0.000    0.000    0.010    0.005 models.py:1(<module>)
      201    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      331    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    1.139    0.569 adapters.py:613(send)
        1    0.000    0.000    0.011    0.011 cd.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       10    0.000    0.000    0.000    0.000 client.py:1239(putheader)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:211(AddrlistClass)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       48    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    1.137    0.568 connectionpool.py:377(_make_request)
      291    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
        1    0.000    0.000    0.040    0.040 sessions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        2    0.000    0.000    0.000    0.000 connection.py:369(request)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
